well_id,measured_depth_m,gamma_ray_api,resistivity_ohm_m,sonic_dt_us_ft,density_g_cc,neutron_porosity,caliper_in,photoelectric_factor,shale_volume,clay_content,water_saturation,hydrocarbon_saturation,permeability_md,velocity_m_s,acoustic_impedance,formation_factor,bulk_modulus_GPa,shear_modulus_GPa,poisson_ratio
WELL-1000,1706704.2006026886,69629.56742581469,67.59,113.89,2.018,0.231,11.1,ERROR,0.376,0.385,0.998,0.643,766.46,2514.92,2974794855.6106277,3.85,25.89,20.11,0.358
WELL-1000,3737.34,30.97,196.62,74.24,2.059,0.216,8.63,3.65,0.542,0.193,,0.451,161.84,2465.94,14025650.17,3.62,23.86,28.76,0.263
WELL-1000,3742.24,122.19,,57.43,2.601,NULL,12.04,3.87,28.921575929554905,ERROR,0.799,0.779,941.72,4473.09,23380868.6,2706.0136377650883,40.16,20.09,0.392
WELL-1000,2217739.7024761164,23.2,158.19,91.07,2.212,0.305,11.23,3.13,0.242,0.145,0.224,0.417,,3195.7,16034440.75,2.48,31.16,11.26,0.346
WELL-1000,3750.55,4417.7545561076195,XYZ,N/A,2.445,0.31,9.92,4.74,0.103,0.368,155.30114635868807,0.562,518.84,4245.58,21441945.89,4.94,29.28,17.54,0.262
WELL-1000,3755.61,50.97,54.98,65.65,2.627,0.152,9.17,1.29,N/A,244.0757304901494,0.263,0.574,156.03,NULL,23245503.72,1.63,16.49,26.4,0.261
WELL-1000,3760.55,64.89,177.97,76.62,2143.0463591040884,0.251,11.56,2986.509447531329,0.519,0.309,0.701,0.781,128.09,4845.45,14778364.59,XYZ,13.89,19.35,259.25465522630714
WELL-1000,3769.53,56.4,195.94,ERROR,2.512,0.19,9.12,ERROR,0.429,0.189,0.991,0.484,501.07,3159.04,6254939.47,2.95,47.31,4699.568460147338,0.241
WELL-1000,NULL,114.97,61927.77890833084,68.07,2.584,N/A,15.68,1.65,0.195,,0.298,0.701,466.23,3649.34,12411103.26,1.62,22.65,19.46,0.312
WELL-1000,3779.99,30.53,9.05,79.21,ERROR,74.98459426386788,12.15,4.86,0.384,0.304,0.888,0.781,949.21,3163.36,22457191.02,1.96,15496.826221375075,25.46,0.213
WELL-1000,3786.51,21.46,113.74,,1.971,0.129,14.69,3.62,0.123,0.471,0.572,0.74,829.39,4776.23,11649997.88,2.49,33.12,29.73,0.152
WELL-1000,3791.92,101.91,68.72,110.32,2.113,0.33,10.02,1.98,0.585,,XYZ,12.681137863437037,66.15,2178.44,23366757.87,1154.5367339153522,23.98,20.14,0.388
WELL-1000,3793.79,50.6,183.22,73.81,2.379,0.323,14.85,2.83,,,0.416,0.5,347.05,2094.81,12093841.73,3.58,30.39,6.91,0.275
WELL-1000,3798.73,57.13,143.05,68.28,2394.3161935456915,0.057,9.46,1892.052100493269,0.42,0.103,0.428,0.492,321.39,3762.84,18979214.02,1.61,15.85,20.19,0.271
WELL-1000,3803.19,ERROR,,76.15,1.994,0.241,15.45,1.75,0.573,0.306,0.492,0.425,ERROR,4972.36,19883048.4,3.65,16.8,24.05,212.95656361008832
WELL-1000,3809.89,66.45,128.89,70.7,2.35,0.277,9.96,3.9,0.224,0.476,0.619,0.215,278.09,3103.34,12403397.19,1.75,,N/A,156.37291324883384
WELL-1000,3816.95,21.58,15.28,108.35,2.013,0.108,9.93,2.17,0.682,0.11,0.27,0.351,460.26,2041.36,18106344.59,4.06,,23.69,
WELL-1000,3819.94,95.87,58461.613754728336,40240.835622652914,2.493,0.242,15.56,4.25,0.433,0.279,0.845,0.265,45.4,XYZ,22997586.33,3.66,13.84,19.28,0.159
WELL-1000,3826.08,62.17,88.85,96.9,2.028,0.111,,1.6,0.107,0.435,N/A,0.563,808.31,2736.66,16331560.8,1.86,11.43,20.13,
WELL-1000,588079.1610094832,69.09,31.16,95.13,2.036,0.051,11.07,,0.666,0.419,149.54059927002035,324.8733866106961,967.51,2672.58,14691880.68,1.64,,9.29,0.222
WELL-1000,3835.87,72.53,116.82,85.59,1886.4550590197573,0.319,8.82,1.58,NULL,0.429,0.307,0.376,124.05,3240.67,19871556.37,2.68,17.92,16.78,0.176
WELL-1000,,130.66,69.01,78.14,2.178,0.153,11.5,,0.511,0.459,0.597,0.439,627.7,N/A,5407952.14,1.35,6301.125898385582,25.87,
WELL-1000,3847.76,60.39,15.81,89.04,2.519,0.313,12.54,3.42,0.629,0.201,117.24893841327929,0.53,383.09,4210.52,,2.66,12.26,26.93,0.382
WELL-1000,2852143.4073414747,136.81,100.06,55.63,2.577,0.091,8.86,2.03,0.475,0.18,0.951,436.57039377402083,303.66,4986.15,6779027.77,4.46,20.4,18.47,0.355
WELL-1000,3861.58,142.25,,52.5,,0.145,XYZ,1.98,0.175,0.129,0.424,0.38,570.7,3975.38,11194425.86,4.4,34.18,16.08,231.17271344548942
WELL-1000,3864.14,82.73,63.61,55.8,1481.9616342547215,0.069,ERROR,659.0024266242415,0.13,ERROR,0.812,0.625,633.28,2875.96,,,27.38,13.34,0.164
WELL-1000,3872.62,95.8,67.04,116.47,2.068,0.252,12.13,,0.46,0.172,0.38,0.381,52669.88594949402,2063.88,14290435.37,3.65,ERROR,7.12,0.29
WELL-1000,3876.8,21.31,57.96,116.52,2282.0904188711434,0.224,11.94,1.34,,,0.617,0.629,233.28,2419.91,8079800.6,2.37,46.23,15.12,0.104
WELL-1000,3883.78,94.02,197.39,,1.92,0.289,7984.5202731932895,3.66,0.586,0.153,0.436,0.499,459.66,NULL,19331756.69,1.54,,14.81,0.378
WELL-1000,3889.51,149.25,159.45,105.6,2.541,0.268,13.11,1.03,0.562,0.134,0.476,376.67466535517264,93.57,2264.4,14993561.32,4.77,36.08,13.01,N/A
WELL-1000,3892.24,149.37,193.93,95.22,2.008,160.61569604000613,13.33,1.4,N/A,0.34,0.823,ERROR,768.44,3286.38,22890078.57,4.45,8053.23745882719,9.4,0.188
WELL-1000,3900.25,55.51,10.52,86.88,2.662,0.249,12.81,2.18,0.254,0.398,0.891,0.469,253.0,2225.12,10211143.06,4.76,17.75,8.04,71.6748669852752
WELL-1000,3905.22,120.55,194.63,117.49,2.284,0.298,9.29,3.87,0.428,0.157,111.1667128033858,0.565,28.05,4176.95,10494091.69,4.31,34.68,23.2,0.387
WELL-1000,3910.24,,131.19,,2.327,0.105,15.13,1.01,0.68,0.467,0.649,0.274,712.68,4408.17,7260570.25,4.5,17.55,7.01,0.381
WELL-1000,3911.6,80.22,96.33,94.56,2.688,0.293,12.01,3.21,0.314,0.362,0.972,0.445,434.35,2053.17,19111831.33,,46.13,14.8,0.398
WELL-1000,3921.75,68.05,49.58,ERROR,2.51,18.671687683138767,13.19,3.79,0.514,0.177,0.32,0.275,572.1,3385.29,17333863.92,3.31,36.0,18.29,0.312
WELL-1000,3926.72,35.52,41.53,65.71,2.03,0.199,13.72,3.29,0.287,0.463,0.877,0.373,354.7,4802.88,,4.19,45.5,28.66,0.348
WELL-1000,3928.69,109.35,152.46,88.23,2.382,0.34,15.7,2.99,215.71071786239722,0.225,0.741,0.632,84.03,2450.42,22574611.82,1.14,N/A,19.03,0.208
WELL-1000,3935.01,79.51,156.66,52.32,2.122,0.217,9.31,4.85,,16.57938386063278,0.392,0.453,216.18,4989.93,6958505.51,3.37,19.91,7.46,0.376
WELL-1000,3941.3,96.17,110.47,51619.25217934051,1.977,0.253,10.33,1.93,0.594,ERROR,NULL,,174.6,3841.4,10878197.59,4.53,N/A,6.48,0.379
WELL-1000,3947.89,30.72,15.77,92.51,1.913,0.133,15.06,4.84,0.384,0.134,0.298,0.664,910.54,2055.66,21984516.25,1.61,41.69,15.84,0.251
WELL-1000,3952.22,,,65.41,2.136,0.337,14.65,3.47,0.584,0.283,0.592,0.242,553.49,XYZ,3647131791.2755427,1.79,37.08,23.03,0.303
WELL-1000,3958.03,22.53,138.2,60.97,2.537,0.279,8.94,3.56,0.77,0.219,0.585,0.301,15.92,ERROR,22458381.22,NULL,26.31,8.01,0.19
WELL-1000,3962.6,,10.12,110.8,2.18,0.239,12.67,1.05,0.178,0.191,0.578,0.714,919.99,2121.65,15723959.77,,27.14,15.23,XYZ
WELL-1000,3970.3,117.69,38.57,65.75,2.421,0.194,13.64,4.91,0.22,0.241,0.793,0.213,888.15,XYZ,6734807.49,2.34,NULL,13.94,0.247
WELL-1000,2370081.988701374,95.85,99.48,,2.577,0.07,10.02,3.47,N/A,0.279,0.759,0.521,NULL,4469.76,17202465.11,2.67,ERROR,12.03,0.249
WELL-1000,3977.81,103.95,122.3,98940.19461205075,2.392,0.226,8.52,1.58,0.18,0.227,0.392,0.647,458.55,,5608173.83,1.83,36.42,2415.2127682370324,0.256
WELL-1000,3984.46,126.31,130.89,,2589.5984779916857,0.111,10.18,2.77,0.708,0.444,0.296,ERROR,252.91,4444.24,23292273.76,XYZ,45.08,11.7,0.331
WELL-1000,3991.1,121.49,42.0,54.89,2.49,0.19,11404.820750298308,1.84,0.768,0.147,0.254,,696.82,2152.36,22705848.14,1.7,48.88,27.3,0.121
WELL-1000,3996.07,44.32,ERROR,95.4,2.296,0.135,11.14,1.62,0.365,0.163,0.326,0.64,440.74,NULL,8551680.26,1.99,NULL,5.81,0.163
WELL-1000,4002.34,52093.38870217104,161.79,109.46,714.79832995606,NULL,10.45,1.68,268.6369076736334,0.355,0.617,0.412,317.95,4698.86,ERROR,4.97,49.53,16.32,0.215
WELL-1000,4004.99,,N/A,98.21,XYZ,0.092,14.91,4.56,0.189,0.224,0.455,0.721,613.3,4406.95,7912336.03,1.16,,22.8,0.325
WELL-1000,2697323.5358397914,48.21,85.64,50.62,2.607,54.04206985791814,9.56,XYZ,0.376,0.103,,NULL,661.26,3946.68,20845238.72,5.0,25.08,23.27,0.266
WELL-1000,4015.35,63.12,35.93,73.59,2.291,0.317,11.96,1.57,0.614,,0.788,0.304,503.0,4723.83,15022186.0,1.45,,7.19,0.25
WELL-1000,4024.81,31.36,45001.055537385735,52.91,2.091,0.113,10.4,1.22,0.659,0.285,337.39310641005017,0.363,770.99,2840.17,NULL,2.04,15.67,28.23,0.179
WELL-1000,4028.77,ERROR,163.66,56.9,,0.263,12.65,4.55,ERROR,241.8870411359416,0.493,0.626,421.48,3898.54,11533648.56,1.07,17091.077010088204,6.76,0.281
WELL-1000,4035.9,73.26,117.07,ERROR,2.3,0.09,14.27,,0.417,0.485,0.903,0.794,645.71,3223347.820011709,8322063.56,1.98,17.53,12.04,0.333
WELL-1000,XYZ,112.57,XYZ,81.75,2.58,0.198,11.8,3.72,,0.225,0.984,0.795,50798.687860367725,3295.73,12608101.22,4.12,42.1,26.33,0.268
WELL-1000,4043.35,135.25,6883.096379024206,65.35,2.484,0.293,12.98,3.47,0.483,0.332,0.718,0.421,576.9,2861.94,11276160.28,4.24,,17.15,0.325
WELL-1000,4047.75,107.24,20.27,107.49,2.26,0.286,13.59,4.05,206.1095182493581,0.422,0.589,0.718,404.45,4436.99,5952309.62,1.49,31.37,10.5,216.52421633718265
WELL-1000,4055.53,100.16,66.19,113.36,2.24,0.305,9.23,4.3,XYZ,0.121,0.283,0.275,380.67,2015.1,7320000.54,3.5,33.16,5.01,194.26794373654275
WELL-1000,4061.45,103.3,72.82,118.34,2.605,,9.33,1.13,0.722,0.394,0.519,0.591,97.35,2298.1,,4.86,23.72,28.95,0.176
WELL-1000,4064.1,80.88,,108.55,2.586,0.052,14.7,4.63,0.377,,0.691,0.212,162.86,3860.93,18403739.54,1.14,ERROR,29.9,0.253
WELL-1000,4071.1,49.12,42.44,109.03,2.681,NULL,11.48,XYZ,0.272,0.236,0.907,0.444,353.01,4891.74,13545987.46,1.81,XYZ,28.68,0.381
WELL-1000,4076.78,46.52,175.9,58.06,2.597,0.264,14.6,2.83,0.451,0.424,0.403,0.714,304.76,2463.74,24880047.47,ERROR,38.64,16.98,0.364
WELL-1000,4084.73,20.1,169.1,90.39,1.984,0.181,9.84,2.87,0.697,0.463,0.754,0.764,652.15,4702.64,15243132.4,1.39,,23.33,0.234
WELL-1000,4085.49,146.12,25.21,96.68,1.965,0.211,13.29,3.08,0.793,0.167,0.823,0.476,64.99,4276.53,24652762.6,2.54,25.82,5.83,0.269
WELL-1000,N/A,24.1,161.39,,2.378,0.321,11.36,3.78,0.436,0.19,0.393,0.382,181.83,XYZ,5004501.36,4.32,11.5,28.07,0.356
WELL-1000,4096.49,70.29,168.65,119.2,2.165,0.181,14.37,3.23,0.435,,0.812,0.441,18.65,4783.05,7671393.15,1.91,41.54,19.01,0.238
WELL-1000,3545413.725661993,67.13,103.78,,2.123,0.161,12.32,4.87,0.517,0.251,0.722,0.45,870.29,4491.32,19355899.69,4.01,15.17,7.06,NULL
WELL-1000,4111.23,,76.27,80.09,2.029,0.226,10.14,4.75,0.675,0.404,0.458,0.796,461.24,4032.16,19935922.62,4.97,38.08,22.12,0.187
WELL-1000,4112.23,94.7,161.04,50.71,2.274,0.13,1574.520083282229,3.13,0.138,ERROR,0.34,0.618,418.47,2312080.231643962,24792688.92,1.96,46.82,20.6,NULL
WELL-1000,4117.85,130.82,119.08,41860.007340824064,2.536,0.075,,4.96,0.136,0.31,0.925,0.414,393.17,3528083.843527772,11924953.78,1.53,4846.692679267532,22.87,0.33
WELL-1000,4125.57,123.89,184.0,97.91,1323.0300439985544,40.52068553644189,12.87,2.22,0.628,0.406,0.924,N/A,290.47,2093.31,7338883.21,2.58,15.0,27.95,0.215
WELL-1000,,145.21,110.85,104.07,2.321,0.304,9.05,3.08,N/A,0.434,0.406,0.502,973.57,3363.79,13617638.2,3.44,37.3,13.22,0.17
WELL-1000,4137.91,XYZ,136.25,77.78,1.929,0.134,15.81,3.67,0.793,0.239,0.217,0.684,609.6,4183.01,,4.36,24.79,8.59,0.336
WELL-1000,1412038.4056537086,94.24,66.88,88.48,2.0,0.337,9.25,4.39,0.684,0.122,0.453,0.738,616.07,4571.78,15756538.32,2.27,35.08,9.77,0.18
WELL-1000,2683673.70142806,122.98,46.64,87.38,2.283,0.305,13.62,1.74,,0.217,0.74,0.539,167.8,2129.05,11959825.08,4.95,,29.97,0.171
WELL-1000,4151.14,38.41,64.59,114.47,1.987,0.093,9.92,2.06,0.583,0.368,0.887,0.427,530.05,3022.34,22408993.48,2.02,39.66,28.5,0.26
WELL-1000,4159.75,61.81,150.25,,1.928,0.188,14.32,4.48,0.435,,0.575,0.665,320.24,3527.2,,1.31,28.2,5.83,0.199
WELL-1000,4164.26,97.55,24.37,89.59,2.315,0.124,15.36,1790.2277866550905,0.576,0.204,0.96,0.361,59216.76806986506,NULL,15660195.84,3.84,34.33,13.23,0.292
WELL-1000,4168.0,30.28,165.05,102.38,2.031,235.55461797205808,13.28,2.65,0.225,0.444,0.556,0.557,783.38,2620.13,10512494.43,3.14,,22.34,153.60157340828863
WELL-1000,4176.75,56.67,133.35,82.87,2.322,0.325,13.22,1.36,0.774,0.301,0.286,0.272,35.77,4338.53,7140568.53,3.27,12.1,29.35,0.141
WELL-1000,4182.3,108.74,140.3,91.82,2.244,0.324,15.95,2.37,0.632,0.403,0.21,119.00953931229536,,,6565540.76,4.88,30.24,NULL,0.321
WELL-1000,4011739.6258639838,78.81,78.58,113.74,2.565,0.137,13.92,3.78,0.289,0.193,0.496,0.283,596.05,4577.97,20868021.4,1.35,21.98,18.39,0.283
WELL-1000,2456582.9283960755,42.48,167.13,92.44,38.374932450390745,0.181,,1.69,0.358,0.332,598.8387959643381,0.32,964.76,2893.2,17631253.81,1.93,29862.7689573714,9.38,
WELL-1000,4197.02,94.74,184.28,,2.451,0.178,,3.11,0.6,,0.584,0.501,136.67,2888.71,14094789.97,3.31,47.84,12.26,NULL
WELL-1000,4200.58,,5.47,112.49,2.101,0.174,12.75,2.0,253.31186303655804,0.445,0.641,0.698,NULL,3162.21,13707193.28,4.01,32.8,16.7,0.124
WELL-1000,4208.19,,117.52,62.6,2.336,0.305,14.1,N/A,0.675,0.22,0.811,0.371,964.63,4112.15,22096816.11,1.77,17.9,26.68,82.63590156640745
WELL-1000,4211.23,23.49,70.03,110.24,2.503,ERROR,NULL,4.06,0.384,0.115,0.89,0.389,219.38,2103.18,16558411.14,ERROR,29.38,24.93,XYZ
WELL-1000,4217.26,35.49,7.6,66.63,2.198,0.094,12.06,4.53,0.795,0.164,0.265,0.766,11.87,4994.65,24014158.72,3.11,30.83,21.65,0.391
WELL-1000,4221.51,76283.53457482914,188.05,95.72,2.334,0.089,15.2,2.58,0.65,0.36,0.294,0.418,249.59,4133063.6537768585,18198849.61,3.66,15.26,12.49,5.760726707427584
WELL-1000,4228.58,149.94,186.81,98.88,2.009,,9.29,2.29,0.703,XYZ,0.998,0.363,435.93,3766.59,18690894.21,3.71,29.75,12.2,0.393
WELL-1000,,107.01,161.33,74.75,,0.343,11.24,1.1,0.712,0.196,0.421,0.655,713.73,2376.5,7127321582.280481,3.11,11.31,7650.36375200587,0.296
WELL-1000,4239.77,122.56,,107.85,,,9152.719263940066,4.34,0.44,0.412,0.334,0.616,911.72,4384.08,6121454.42,4.11,14.11,6.07,0.37
WELL-1000,XYZ,24.77,145.67,73.44,2.113,0.127,11.88,3.66,158.83879063261307,0.401,0.591,0.318,XYZ,3956.81,19620930.0,1593.9045484228752,36.11,5.77,0.231
WELL-1000,4252.8,ERROR,111.5,51.31,2.128,0.304,10.96,3.42,0.772,0.225,0.875,N/A,XYZ,2120.24,,2.99,38.61,,0.199
WELL-1000,4254.87,49.17,18.97,100.96,2.102,0.075,13.78,,0.142,0.167,,0.264,,4556.03,19419172.44,4.7,42.36,12.88,0.226
WELL-1000,4261.65,122.21,29.78,50.71,2.442,0.142,8.94,4.4,0.33,0.174,0.366,0.442,978.28,4696.02,23130915.4,1.94,43.83,15.03,0.112
WELL-1000,4267.41,,184.84,109.85,2.399,0.322,10.36,1.0,0.431,0.12,0.24,0.207,92.93,2050.56,13225217.04,4.51,45.54,5.37,0.197
WELL-1000,4273.85,,97.07,114.68,2.65,0.255,11.82,3.77,0.508,0.442,0.515,0.566,775.13,4310.9,17226399.93,4.13,18.63,2594.8433335711625,0.335
WELL-1000,4276.58,54.62,N/A,53.04,2.077,0.328,15.13,2.06,0.593,0.387,0.911,0.719,467.81,4616.69,8246329.3,XYZ,43.68,11.59,0.373
WELL-1000,4281.54,42.86,197.02,66.14,2.246,0.06,15.56,4.13,0.151,0.143,0.335,0.306,277.72,2699.76,11675865.23,3.6,10.92,7.74,0.398
WELL-1000,4286.71,115.37,38.93,115.46,,0.324,10.68,4.26,0.471,0.345,0.631,0.534,347.05,4323.1,13823923.47,,24.26,28.26,0.303
WELL-1000,N/A,148.78,34.74,83.8,2.348,0.305,10.69,4.55,N/A,0.298,0.93,0.704,709.23,2213.55,15904912.98,3.08,34.17,14.13,0.241
WELL-1000,4298.6,55.02,78.47,109.82,2.255,0.092,15.05,3.6,0.745,0.341,ERROR,0.424,648.63,3380.6,19326731.49,3.71,23.95,17.79,0.354
WELL-1000,4303.01,105.77,7.03,93.11,2.235,0.135,11.62,1.36,0.504,0.212,0.54,149.2480974337558,857.47,2671.25,11741732.59,2.46,49.82,14.51,0.229
WELL-1000,4308.36,96.39,166.33,,2.49,0.337,9.12,4.49,76.12774774809607,0.305,0.866,0.21,841.65,2087.05,14619860.35,4.24,11.61,17.08,0.13
WELL-1000,N/A,32.41,190.24,58.13,2.39,0.185,14.27,4.8,0.656,0.127,0.91,0.232,233.56,4316.73,6678606.83,4.52,15.78,8.15,0.346
WELL-1000,4319.67,21.61,191.26,84.73,2.219,0.143,12891.31585783828,N/A,0.495,0.39,0.254,0.693,335.19,,23793007.39,4.64,,20.43,0.35
WELL-1000,4326.59,85.41,190.83,74.94,1.955,0.077,12.38,1.23,0.541,0.263,0.916,0.319,120.07,2172.79,7920026.56,2718.013172905164,25.64,18.73,0.394
WELL-1000,4333.55,81.73,198.3,102.24,2.316,0.313,14.78,2.63,0.175,0.316,0.728,0.664,465.17,4566.54,N/A,2.75,36.12,7.07,0.225
WELL-1000,4339.39,116.18,156.7,87.64,,0.055,12.64,4.32,0.636,,0.533,302.3736745383104,481.79,4201.86,12988815.02,2.15,36.17,25.62,0.394
WELL-1000,4341.14,40.9,144.62,60.99,2.027,,15.65,2.55,0.748,0.492,0.76,0.492,825.04,,23325415.91,2.03,38.77,19.81,0.121
WELL-1000,4345.79,91.22,62.05,,2.026,0.338,8.54,1.89,0.697,0.154,0.925,XYZ,8.4,N/A,22121912756.95103,4.07,49.03,13.52,0.392
WELL-1000,4355.49,28.68,114.03,79.5,1.966,0.314,8784.218765315663,2.36,0.619,0.186,0.911,,734.92,3282.22,10821782.37,1.59,22.58,29.24,0.328
WELL-1000,4357.5,74.32,XYZ,74.44,2.301,0.202,12.12,4.28,0.699,0.122,0.959,0.471,738.89,4972.93,21616485.5,1.93,30.31,11.74,0.285
WELL-1000,4363.92,73.27,88.31,106.26,2.111,0.158,14.87,3.53,0.233,,0.218,0.659,802.05,2163.75,17268637.83,ERROR,46.71,8.92,0.385
WELL-1000,4370.28,125.29,99.39,104.85,2.094,0.207,13.6,1.09,0.67,0.189,0.879,0.564,872.1,4383.5,12965666.75,295.92768107810934,26.56,26.01,0.17
WELL-1000,4374.23,,2.9,75.17,2.141,0.131,14.86,4.53,0.51,0.109,0.947,0.441,534.0,2857.72,11479177.84,NULL,13.92,26.69,0.157
WELL-1000,4380.75,87.34,187.11,63.75,1.972,0.22,15.32,1.6,0.618,,0.393,0.551,939.74,3564.4,7856735.21,NULL,35.33,12.44,0.289
WELL-1000,4384.62,131.89,193.41,80.14,2.681,0.309,9.47,2.38,0.527,0.368,0.829,0.214,417.23,4182.01,14515357.02,2.56,21.58,,0.141
WELL-1000,4390.16,111.11,115.25,117.94,2.61,0.124,14.81,ERROR,0.47,0.427,0.711,0.21,931.89,,11187350.47,4.79,35.05,17.67,0.131
WELL-1000,4395.74,110.78,,65.16,1.967,0.266,13.59,1719.4172624293699,0.544,0.372,0.734,0.222,386.09,2764.05,24729310.61,2.26,11.69,19.64,0.104
WELL-1000,4401.16,112.92,104.06,62716.73838917696,2.557,0.25,13.06,2.76,0.388,0.469,0.802,0.41,581.01,4214.77,22209480.22,1.7,26.56,23.3,
WELL-1000,3500030.3897522045,59.95,8.09,59.57,2.524,0.126,15.99,NULL,0.388,0.434,0.39,0.218,233.54,3763.84,20485750.7,1.28,18.06,5.88,
WELL-1000,4411.91,109.31,40.45,30289.644802305505,2.192,0.309,14.32,1.3,0.673,0.35,0.344,0.53,132.93,2928.3,6987515.43,3.6,21.2,9.37,
WELL-1000,4419.72,27.15,133.51,79.64,2.05,0.314,15.65,2.27,0.773,15.242233923637457,0.504,0.509,696.07,3999.12,24434772.2,2.07,15.02,24.01,0.28
WELL-1000,4424.77,80.68,102.95,60.58,2.552,0.176,12.25,2.84,0.197,0.486,0.656,0.44,869.4,4935.79,9456817.65,4729.817033433409,36.41,10.23,0.181
WELL-1000,4428.73,147.77,139.15,117.39,2.548,0.204,14.88,536.5735952453521,0.175,0.23,0.285,0.775,580.47,3693.29,19030500.78,1.09,40.02,11.09,0.289
WELL-1000,4433.79,135.89,72.71,117.88,2.616,0.311,12.1,1.9,0.759,0.284,,0.363,352.51,3580.12,15928561.95,N/A,15.9,XYZ,0.397
WELL-1000,4438.9,64.43,XYZ,83.44,2.589,0.284,15.76,3.34,N/A,0.487,0.465,0.42,439.33,4075.15,19728474.04,2.39,1307.0396349416708,21851.215976951447,0.294
WELL-1000,4445.17,92.49,194.77,106.37,2.631,0.278,1495.2501258612833,3.96,0.416,0.406,,0.591,,4087.86,14757790.36,1.74,11.7,20.13,0.385
WELL-1000,N/A,58.88,95.8,ERROR,2.226,,15.61,1907.3068842883752,0.215,0.396,NULL,,966.57,N/A,17601195.09,3.17,42.6,22.96,0.128
WELL-1000,4455.45,75.0,47.65,63.38,2.298,0.163,11.25,1.17,0.693,0.222,XYZ,0.424,200.48,2714.2,24423009123.275604,1.5,25.0,12.22,0.322
WELL-1000,ERROR,47.75,13.6,59.81,2.127,0.067,N/A,2.86,0.36,0.281,0.521,0.753,88.22,ERROR,23557909.6,ERROR,19.8,12.96,0.358
WELL-1000,4465.65,26.71,56.88,69.62,2.61,,9.25,4.43,0.768,0.277,0.905,0.48,728.04,3360.54,,1.89,10.48,6.37,0.344
WELL-1000,4474.4,139.11,158.37,65.36,,0.1,10.97,3.88,0.613,0.443,7.718382389094256,0.397,764.12,1980651.4049495002,24344263.87,4.98,15.94,23.68,20.159623697326307
WELL-1000,4477.62,76.96,95.68,61.09,2.162,0.279,12.9,1.16,0.627,0.388,0.904,0.633,504.74,2391.54,17607795.45,3.88,,N/A,0.114
WELL-1000,4483.36,ERROR,,73.76,2.35,0.343,15.99,2.52,0.224,,0.704,0.556,477.93,2720.83,21717981.4,1.48,15.77,9.49,0.112
WELL-1000,4487.74,53.76,NULL,14652.009702127076,2.485,,15.03,4.04,0.538,0.444,0.77,0.568,983.22,2248.6,10513684.87,2.82,33.42,27.27,0.229
WELL-1000,4496.32,43.36,62.01,,2.691,0.093,9.16,3.32,0.645,0.319,0.565,0.709,912.43,2223.18,10032394.74,3.73,13.01,27.18,0.221
WELL-1000,4500.13,149.32,137.63,65.81,2.292,0.321,11.98,2.79,0.453,0.275,0.847,0.651,704.38,3763.99,21142150.52,1.34,24.05,10.32,0.113
WELL-1000,2811293.333149205,108.11,176.26,112.94,,XYZ,9.84,1.64,0.506,,,0.646,N/A,4530.53,24623244.35,4.11,12.74,29.5,0.259
WELL-1000,4509.24,122.05,75.97,63.11,1.995,103.55306819611644,N/A,2.15,0.119,0.22,0.461,0.417,391.56,4792.99,13267392691.769125,3.99,41.99,16.02,0.291
WELL-1000,4513.92,123.74,69.74,78.27,2.558,0.345,10.19,2.31,201.3625714157632,0.304,0.54,0.706,175.81,2964.28,6601394.48,3.83,19.86,5.97,0.281
WELL-1000,4521.93,N/A,185.66,112.99,2.117,0.125,15.73,1.5,0.761,0.334,0.818,0.755,892.11,2108.43,9367781.32,3.09,16.79,11.62,0.265
WELL-1000,,48988.89438079756,,106.03,2.611,N/A,14.85,2.73,0.701,0.247,99.35305596661608,0.583,930.56,2779363.798799868,6880076.53,2.72,12.0,27.26,0.105
WELL-1000,ERROR,131.88,15.05,82.94,2.03,0.087,6267.494254005689,4.47,0.273,0.4,0.887,0.757,302.78,4789.75,20392489.61,1.34,44.93,17.95,0.225
WELL-1000,4536.97,48.41,160.52,105.77,1.922,0.258,12.25,4.91,0.136,0.304,0.633,0.7,284.87,2210.93,13677160.96,4.4,48.19,11.88,0.234
WELL-1000,4543.73,ERROR,,72.71,2.429,0.237,,4.11,0.456,77.36004869504112,0.968,0.764,737.25,3310.85,6128131.15,4.29,30.97,6.57,0.209
WELL-1000,4547.27,72.45,62.48,63.68,2.285,0.194,9.9,4.27,0.64,,N/A,0.569,859.12,4367.99,17029886.65,4.25,16.24,12.97,0.172
WELL-1000,4552.63,23764.328691200695,182.66,97.48,2.253,NULL,15.86,4.2,262.3729437953357,0.109,0.518,0.363,374.09,3228.0,15276194.78,2.51,43.56,14.74,0.372
WELL-1000,4557.03,68.54,141.47,96.39,2.377,0.138,8.6,1.96,0.167,0.255,0.901,0.784,769.09,4221.5,22675377.92,3.61,30.05,12.29,0.228
WELL-1000,4563.7,73.64,168.21,59624.33674622775,1.958,0.338,15.31,1.79,0.326,0.12,0.933,0.765,600.71,2827.48,22668266.07,4.43,21.26,4108.966480851273,0.277
WELL-1000,4569.89,73.99,79.27,60.91,2.473,0.284,13.76,4.61,0.209,0.344,0.658,0.308,523.81,2896.95,15289485.63,XYZ,,5.42,0.182
WELL-1000,1931707.4743846627,127.38,104.99,50.78,,0.185,11.29,1.36,0.162,0.301,0.808,0.484,616.91,2911.85,15760683.31,1.93,,8.7,0.243
